,County,Battery Electric Vehicles (BEVs),Month,Year
857,Yakima,71,10,2018
858,Adams,5,11,2018
859,Asotin,12,11,2018
860,Benton,210,11,2018
861,Chelan,135,11,2018
862,Clallam,147,11,2018
863,Clark,1188,11,2018
864,Columbia,2,11,2018
865,Cowlitz,69,11,2018
866,Douglas,49,11,2018
867,Ferry,3,11,2018
868,Franklin,38,11,2018
869,Garfield,1,11,2018
870,Grant,32,11,2018
871,Grays Harbor,61,11,2018
872,Island,266,11,2018
873,Jefferson,169,11,2018
874,King,15787,11,2018
875,Kitsap,916,11,2018
876,Kittitas,61,11,2018
877,Klickitat,23,11,2018
878,Lewis,89,11,2018
879,Lincoln,2,11,2018
880,Mason,103,11,2018
881,Okanogan,15,11,2018
882,Pacific,20,11,2018
883,Pend Oreille,5,11,2018
884,Pierce,1470,11,2018
885,San Juan,176,11,2018
886,Skagit,250,11,2018
887,Skamania,18,11,2018
888,Snohomish,2790,11,2018
889,Spokane,408,11,2018
890,Stevens,16,11,2018
891,Thurston,707,11,2018
892,Wahkiakum,1,11,2018
893,Walla Walla,38,11,2018
894,Whatcom,732,11,2018
895,Whitman,20,11,2018
896,Yakima,78,11,2018
897,Adams,5,12,2018
898,Asotin,12,12,2018
899,Benton,227,12,2018
900,Chelan,140,12,2018
901,Clallam,150,12,2018
902,Clark,1246,12,2018
903,Columbia,2,12,2018
904,Cowlitz,72,12,2018
905,Douglas,50,12,2018
906,Ferry,3,12,2018
907,Franklin,45,12,2018
908,Garfield,1,12,2018
909,Grant,32,12,2018
910,Grays Harbor,62,12,2018
911,Island,276,12,2018
912,Jefferson,168,12,2018
913,King,16283,12,2018
914,Kitsap,946,12,2018
915,Kittitas,66,12,2018
916,Klickitat,28,12,2018
917,Lewis,93,12,2018
918,Lincoln,2,12,2018
919,Mason,107,12,2018
920,Okanogan,16,12,2018
921,Pacific,21,12,2018
922,Pend Oreille,5,12,2018
923,Pierce,1509,12,2018
924,San Juan,183,12,2018
925,Skagit,260,12,2018
926,Skamania,16,12,2018
927,Snohomish,2915,12,2018
928,Spokane,439,12,2018
929,Stevens,16,12,2018
930,Thurston,739,12,2018
931,Wahkiakum,1,12,2018
932,Walla Walla,41,12,2018
933,Whatcom,759,12,2018
934,Whitman,24,12,2018
935,Yakima,82,12,2018
936,Adams,5,1,2019
937,Asotin,12,1,2019
938,Benton,232,1,2019
939,Chelan,140,1,2019
940,Clallam,152,1,2019
941,Clark,1313,1,2019
942,Columbia,2,1,2019
943,Cowlitz,79,1,2019
944,Douglas,51,1,2019
945,Ferry,3,1,2019
946,Franklin,49,1,2019
947,Garfield,1,1,2019
948,Grant,33,1,2019
949,Grays Harbor,67,1,2019
950,Island,288,1,2019
951,Jefferson,175,1,2019
952,King,17170,1,2019
953,Kitsap,981,1,2019
954,Kittitas,69,1,2019
955,Klickitat,29,1,2019
956,Lewis,95,1,2019
957,Lincoln,2,1,2019
958,Mason,108,1,2019
959,Okanogan,18,1,2019
960,Pacific,22,1,2019
961,Pend Oreille,5,1,2019
