,CPI,48_month_loan,60_month_loan,s&p,New BEV Added
98,252.77602638441712,5.144125186999928,5.003010517959302,2919.5757139896796,603.3663990356304
99,252.70600305797097,5.153690405682649,5.0113879374395065,2920.655497812264,609.8858144583392
100,252.06825559750308,5.157449756483787,5.005501200029371,2913.252892773853,606.4627520441001
101,254.60245421831615,5.2253109630569705,5.064505467747965,2923.3310711690083,684.7309604640494
102,257.1446965616938,5.30563159616385,5.126810344820299,2938.256317760075,788.1580534728977
103,258.37229476810427,5.404591069393154,5.221708690974153,2954.148706680547,852.0281513500165
104,259.25342560966345,5.428105635794001,5.241432844819679,2965.8241827221946,846.8331426194271
105,259.75634936682013,5.441914077671779,5.263904749629612,2982.5680452950373,889.5710695579705
106,260.0079856768156,5.488806813091631,5.3288726817218866,2987.237461028938,882.8455837989137
107,259.553463983754,5.45695765921517,5.322636550705165,2991.053001580837,818.543487333354
108,259.7673740082075,5.461340556141969,5.3409238238553,3024.467990275802,899.9547362829838
109,259.13291680527834,5.4113413124927305,5.286892847981407,3033.38623791739,841.2220974072004
110,259.1691048845567,5.365956996583348,5.223557760781494,3057.5024171508503,829.8002143141387
111,259.4704948437768,5.37569770185208,5.211641210199903,3079.0988351016276,914.2150464034407
112,256.6380167567748,5.35185033871694,5.176170783248655,3079.2523347251167,832.846340810136
113,257.5433489807512,5.337343274143074,5.162461869057388,3122.7964710958195,845.0457307437417
114,259.1476839820232,5.38764938469207,5.218746539806157,3182.6305017880227,978.8099312255252
115,258.8419477626831,5.4064875811252975,5.240846657480357,3221.615808082752,962.6114014825108
116,262.2162853168271,5.30223560781428,5.1128619774782065,3206.1583513499118,997.1311151434373
117,263.0457478922389,5.281169021708296,5.069269943711118,3164.7023482603454,1083.561512133942
118,264.3094941039318,5.3518304693556535,5.1197589962942915,3144.620766362372,1016.5463318342341
119,264.2443452163132,5.3718933527391375,5.138328702821053,3144.5539307783615,1005.2281948589826
120,263.9387342354712,5.452182111443727,5.222949221155644,3163.467443394909,1125.9057615846273
121,259.3347595421145,5.453086906493848,5.23654479824644,3170.364525003924,971.8662438255658
122,257.3716278009783,5.382374687916637,5.191209445471645,3195.9079235425834,928.465455478898
123,253.73010653630354,5.283344652965558,5.107648374669327,3200.143558841985,916.352810662467
124,246.3656928042629,5.004400070640133,4.854145281230694,3168.747233279032,563.4334671178348
125,249.07986965101367,4.947935509825431,4.790588496278439,3279.3094487008325,678.060727938744
126,252.673596436227,4.892383311850367,4.730198643862161,3398.8085655117247,845.0139023379479
127,256.5814936634908,4.942487149160289,4.775341099972265,3516.8798031253173,1009.6691103805579
128,261.37205816965115,4.9537186177046,4.784868134540867,3622.7793717953273,1131.9826526966044
129,264.9212396561401,4.971978156198062,4.799319218293465,3731.4230203391194,1343.0243915403769
130,265.11484619581825,4.904231503211898,4.742158634867239,3793.879135684546,1333.4709368411945
131,270.06856230495185,4.884661762622622,4.7294558291185815,3905.155678337731,1447.9094078048088
132,275.4632819392159,4.8950616671837075,4.744599613899907,4023.6851246114397,1693.1385824585618
133,279.03943529653475,4.951039669023741,4.800412196876165,4120.323379637418,1822.932249847299
134,280.2323040776404,4.839345575838672,4.677059878278483,4176.48658040881,1808.651764590664
135,283.24240684838276,4.815822419223675,4.637680661321633,4242.227659275191,2004.2372271310594
136,282.91132531467576,4.776446837608918,4.584025467933804,4281.17643112811,1970.0859588994629
137,285.3968581302269,4.766304612641782,4.583760921759253,4345.997122385253,2036.1262487327413
138,287.89081773435214,4.755669662975471,4.580577970293024,4388.458492996308,2209.2399712990364
139,288.22570633055864,4.68532718647975,4.498212706476463,4375.927476208308,2186.790155123989
140,289.8449102366334,4.648099008597058,4.445148631478033,4355.759812955017,2178.7953857886905
141,291.0840564472647,4.621497957750125,4.416375976702924,4321.7282701336035,2228.8672960361505
142,290.5827970107062,4.544367971099887,4.337018761319381,4231.2304470682275,2157.457832265015
143,292.97554108183715,4.504312160491866,4.297224467814389,4148.510854590687,2116.5410005388026
144,295.2273221956062,4.573412885951293,4.372677273491761,4068.09450846194,2183.2892856646195
145,294.1946356076303,4.665814922640421,4.508073327634783,3997.1892978779024,2096.1298934677257
146,296.04052574901783,4.759628424748712,4.646891573615945,3951.1115052728346,2102.4833383858827
147,298.30546626766744,4.886600753173321,4.800127993239926,3899.5539492733997,2203.803577479393
148,296.67772246137685,5.113582394685213,5.040732763714086,3845.9653872690824,2183.2386064013826
149,295.92441543512945,5.294866650734139,5.231039407398669,3833.1169781304598,2128.071957383345
150,296.83325493175073,5.447578303562108,5.393295169060417,3855.2287040634064,2277.753727217504
151,296.2516566319027,5.607097689340892,5.547923936188868,3875.7676807305957,2271.0887649957176
152,302.4646669185922,5.831512774012898,5.773358583659918,3953.2561453353246,2383.524428809416
153,307.3974831417266,6.025610925381314,5.97419400505824,4038.504746386054,2666.8921913452023
154,307.7430849881882,6.169973129705205,6.133997558675508,4066.5444878801923,2669.7838969051877
155,309.9067661767811,6.309379795993597,6.276289329604673,4154.318586193242,2706.7644827425547
156,314.8930026642484,6.527276564493651,6.486251251912101,4296.0344718281385,3063.558935558256
157,314.28224495057384,6.522267449209163,6.462567888828259,4355.423251003833,3049.7778230257086
158,312.9052637440812,6.500115979448524,6.4130923317958075,4395.658290251352,3018.066257010938
159,311.6640325386386,6.3025189349038655,6.1976560552539715,4380.107855522881,3002.937233483637
160,308.8691261282041,6.0416652214632425,5.928387092430578,4333.527261749224,2882.387180005347
161,312.1106519484901,5.968773971073662,5.861275778930488,4331.726917468061,2881.8661759271845
162,313.1356651818595,5.854239972146694,5.7494922607590935,4305.50148604564,2897.688493686653
163,313.09438665679403,5.741108868326662,5.64311043544829,4271.42602400697,2939.2203240535396
164,312.7378167227247,5.69533899755589,5.604675380643931,4226.751617992397,2866.207134515426
165,310.3863757688094,5.578146546972452,5.5107573251102755,4159.10460657826,2749.96966308583
166,308.23298175457904,5.552152593893706,5.485557150443475,4098.717952110248,2765.1164776975234
167,301.15117560222996,5.415695386622224,5.335584315547953,3991.129201465311,2491.4411590685577
168,302.97810975591193,5.486120753821551,5.406917988464319,3985.80962414756,2551.5350836536495
169,301.1687449512769,5.536656618481996,5.441872751333051,3939.2857737943145,2524.8979811726917
170,297.6718122688356,5.587087731913979,5.462808767338802,3878.718878781333,2450.7087206541514
171,295.49480193341907,5.629558386590536,5.487939972126582,3836.5519365489827,2401.3378234355487
172,293.7734292296245,5.659262176595791,5.506868948047544,3801.540104062586,2360.60923136116
173,292.3163859168473,5.670699308154655,5.513649057930878,3771.200033423416,2305.4464361078794
174,291.59586127105183,5.6751952564445425,5.520648503988483,3750.1058734682815,2262.477694140157
175,290.94598163317124,5.675686632913923,5.5249728424862425,3731.200720812547,2226.3687851793356
176,290.0388351011254,5.6597848829113815,5.515210474978983,3710.7218595216664,2172.232466430274
177,288.1914553384983,5.654227777779305,5.500435664784271,3681.4133687336744,2113.7018739516834
178,287.9122517734925,5.637235864759266,5.489854856491135,3670.074639107305,2081.3753474927257
179,287.626173409107,5.614530689134137,5.475204254913727,3658.5481555621204,2046.5378530080015
