,Date,County,Battery Electric Vehicles (BEVs)
711,2018-07-31,Ferry,3
712,2018-07-31,Franklin,38
713,2018-07-31,Garfield,1
714,2018-07-31,Grant,33
715,2018-07-31,Grays Harbor,54
716,2018-07-31,Island,206
717,2018-07-31,Jefferson,147
718,2018-07-31,King,13485
719,2018-07-31,Kitsap,810
720,2018-07-31,Kittitas,48
721,2018-07-31,Klickitat,24
722,2018-07-31,Lewis,83
723,2018-07-31,Lincoln,3
724,2018-07-31,Mason,87
725,2018-07-31,Okanogan,9
726,2018-07-31,Pacific,19
727,2018-07-31,Pend Oreille,5
728,2018-07-31,Pierce,1262
729,2018-07-31,San Juan,149
730,2018-07-31,Skagit,216
731,2018-07-31,Skamania,13
732,2018-07-31,Snohomish,2405
733,2018-07-31,Spokane,348
734,2018-07-31,Stevens,11
735,2018-07-31,Thurston,577
736,2018-07-31,Wahkiakum,1
737,2018-07-31,Walla Walla,34
738,2018-07-31,Whatcom,639
739,2018-07-31,Whitman,19
740,2018-07-31,Yakima,65
741,2018-08-31,Adams,5
742,2018-08-31,Asotin,11
743,2018-08-31,Benton,189
744,2018-08-31,Chelan,114
745,2018-08-31,Clallam,128
746,2018-08-31,Clark,1069
747,2018-08-31,Columbia,2
748,2018-08-31,Cowlitz,62
749,2018-08-31,Douglas,45
750,2018-08-31,Ferry,2
751,2018-08-31,Franklin,36
752,2018-08-31,Garfield,1
753,2018-08-31,Grant,34
754,2018-08-31,Grays Harbor,54
755,2018-08-31,Island,216
756,2018-08-31,Jefferson,152
757,2018-08-31,King,13807
758,2018-08-31,Kitsap,829
759,2018-08-31,Kittitas,51
760,2018-08-31,Klickitat,24
761,2018-08-31,Lewis,83
762,2018-08-31,Lincoln,3
763,2018-08-31,Mason,92
764,2018-08-31,Okanogan,10
765,2018-08-31,Pacific,19
766,2018-08-31,Pend Oreille,5
767,2018-08-31,Pierce,1303
768,2018-08-31,San Juan,152
769,2018-08-31,Skagit,221
770,2018-08-31,Skamania,14
771,2018-08-31,Snohomish,2472
772,2018-08-31,Spokane,361
773,2018-08-31,Stevens,12
774,2018-08-31,Thurston,603
775,2018-08-31,Wahkiakum,1
776,2018-08-31,Walla Walla,34
777,2018-08-31,Whatcom,655
778,2018-08-31,Whitman,20
779,2018-08-31,Yakima,67
780,2018-09-30,Adams,5
781,2018-09-30,Asotin,11
782,2018-09-30,Benton,188
783,2018-09-30,Chelan,117
784,2018-09-30,Clallam,129
785,2018-09-30,Clark,1089
786,2018-09-30,Columbia,2
787,2018-09-30,Cowlitz,63
788,2018-09-30,Douglas,48
789,2018-09-30,Ferry,2
790,2018-09-30,Franklin,37
791,2018-09-30,Garfield,1
792,2018-09-30,Grant,33
793,2018-09-30,Grays Harbor,55
794,2018-09-30,Island,227
795,2018-09-30,Jefferson,153
796,2018-09-30,King,14209
797,2018-09-30,Kitsap,842
798,2018-09-30,Kittitas,55
799,2018-09-30,Klickitat,24
800,2018-09-30,Lewis,84
801,2018-09-30,Lincoln,2
802,2018-09-30,Mason,94
803,2018-09-30,Okanogan,10
804,2018-09-30,Pacific,18
805,2018-09-30,Pend Oreille,5
806,2018-09-30,Pierce,1325
807,2018-09-30,San Juan,161
808,2018-09-30,Skagit,223
809,2018-09-30,Skamania,15
810,2018-09-30,Snohomish,2517
811,2018-09-30,Spokane,360
812,2018-09-30,Stevens,13
813,2018-09-30,Thurston,621
814,2018-09-30,Wahkiakum,1
815,2018-09-30,Walla Walla,36
816,2018-09-30,Whatcom,668
817,2018-09-30,Whitman,20
818,2018-09-30,Yakima,67
819,2018-10-31,Adams,5
820,2018-10-31,Asotin,12
821,2018-10-31,Benton,192
822,2018-10-31,Chelan,126
823,2018-10-31,Clallam,136
824,2018-10-31,Clark,1149
825,2018-10-31,Columbia,2
826,2018-10-31,Cowlitz,69
827,2018-10-31,Douglas,47
828,2018-10-31,Ferry,3
829,2018-10-31,Franklin,35
830,2018-10-31,Garfield,1
831,2018-10-31,Grant,32
832,2018-10-31,Grays Harbor,60
833,2018-10-31,Island,244
834,2018-10-31,Jefferson,163
835,2018-10-31,King,15038
836,2018-10-31,Kitsap,880
837,2018-10-31,Kittitas,57
838,2018-10-31,Klickitat,24
839,2018-10-31,Lewis,88
840,2018-10-31,Lincoln,2
841,2018-10-31,Mason,101
842,2018-10-31,Okanogan,15
843,2018-10-31,Pacific,19
844,2018-10-31,Pend Oreille,6
845,2018-10-31,Pierce,1405
846,2018-10-31,San Juan,169
847,2018-10-31,Skagit,241
848,2018-10-31,Skamania,18
849,2018-10-31,Snohomish,2638
