Station Name,Street Address,Latitude,Longitude
BLOCK 16 FB BELLEVUE 8,1288 123rd Ave NE,47.621787,-122.175997
AMZ SEA107-1,10450 NE 10th St,47.619679,-122.200523
AMZ SEA107-2,10450 NE 10th St,47.61974,-122.20052
BELLEVUE SQUARE BELL SQ WEST #3,2086 Bellevue Square,47.615991,-122.205533
EASTGATE 15395 DUAL - #1,15395 SE 30th Pl,47.582147,-122.136648
UDR ASHTON BELL #1,10710 NE 10th St,47.619708,-122.197202
BLOCK 24 FB STATION 3,12355 NE District Wy,47.621188,-122.175998
AMZ SEA112 - 11,555 108th Ave NE,47.614641,-122.196451
UWMC UWMC #1,3100 Northup Way,47.638269,-122.191294
KGIP BELL SOUTH STATION 4,316 116th Ave NE,47.612706,-122.18514
AMZ SEA94 01,333 108th Ave NE,47.613372,-122.196721
UDR TEN20 #1,1020 108th Ave NE,47.61984,-122.19603
AMZ SEA94 04,333 108th Ave NE,47.613386,-122.196667
UDR ASHTON BELL #2,10710 NE 10th St,47.619772,-122.197194
AMZ SEA112 - 10,437 108th Ave NE,47.614572,-122.196469
AMZ SEA94 09,333 108th Ave NE,47.613343,-122.196839
The Marketplace at Factoria,3901 Factoria Blvd Mall SE,47.5758255,-122.1708235
BELLEVUE DOWNTOWN PARK 1,10201 NE 4th St,47.613224,-122.206542
AMZ SEA94 10,333 108th Ave NE,47.613372,-122.196796
AMZ SEA112 - 09,555 108th Ave NE,47.614618,-122.196459
PARKMETRO1 PARK METRO #1,11101 NE 12th St,47.620793,-122.192469
AMZ SEA112 - 08,555 108th Ave NE,47.614594,-122.196424
AMZ SEA112 - 12,555 108th Ave NE,47.614594,-122.196441
AMZ SEA112 - 16,555 108th Ave NE,47.614667,-122.196453
Stay Pineapple,155 108th Ave NE,47.61176,-122.19734
AMZ SEA94 11,333 108th Ave NE,47.61335,-122.196817
AMZ SEA112 - 03,555 108th Ave NE,47.614582,-122.196425
AMZ SEA112 - 04,555 108th Ave NE,47.614599,-122.196437
Bellevue College - Lot C7 Snoqualmie River Road,3036 Snoqualmie River Road,47.58495,-122.15043
AMZ SEA112 - 06,555 108th Ave NE,47.614601,-122.196441
AMZ SEA94 03,333 108th Ave NE,47.613343,-122.196699
AMZ SEA112 - 07,437 108th Ave NE,47.614558,-122.19646
AMZ SEA94 07,333 108th Ave NE,47.613343,-122.196753
AMZ SEA94 12,333 108th Ave NE,47.613357,-122.196624
KGIP BELL SOUTH STATION 2,316 116th Ave NE,47.612419,-122.184446
AMZ SEA94 08,333 108th Ave NE,47.613364,-122.196774
AMZ SEA112 - 15,555 108th Ave NE,47.614583,-122.196445
AMZ SEA94 13,333 108th Ave NE,47.613357,-122.196882
AMZ SEA94 06,333 108th Ave NE,47.613401,-122.19671
AMZ SEA112 - 14,555 108th Ave NE,47.61457,-122.19644
AMZ SEA112 - 13,555 108th Ave NE,47.614588,-122.19643
AMZ SEA94 02,333 108th Ave NE,47.613386,-122.19671
KGIP BELL SOUTH STATION 5,316 116th Ave NE,47.612704,-122.185139
AMZ SEA112 - 18,467 108th Ave NE,47.614743,-122.196447
AMZ SEA112 - 19,555 108th Ave NE,47.614747,-122.196461
UDR TEN20 #2,1020 108th Ave NE,47.619855,-122.195919
BELLEFIELD MADRONA 2,1300 114th Ave SE,47.599721,-122.187136
CCB CCB 2,500 108th Ave NE,47.614756,-122.195468
Ridgewood Corporate Square Building D,220 120th Ave NE,47.611815,-122.178134
Ridgewood Corporate Square Building G,11900 NE 1st Street,47.611519,-122.182197
BELLEVUE SBCC #1,14509 SE Newport Way,47.568834,-122.145328
KEY CENTER KEY CENTER 5,601 108th Ave NE,47.6161,-122.19692
KEY CENTER KEY CENTER 4,601 108th Ave NE,47.616143,-122.19689
KEY CENTER STATION 3,601 108th Ave NE,47.616057,-122.196775
KEY CENTER STATION 2,601 108th Ave NE,47.616072,-122.196829
KEY CENTER STATION 1,601 108th Ave NE,47.616101,-122.196893
KRC SKYLINE SKYLINE #2,10900 NE 4th St,47.614334,-122.19401
BELLEVUE BELLEVUE CH 1,450 110th Ave NE,47.614744,-122.193162
KRC SKYLINE SKYLINE #3,10900 NE 4th St,47.614305,-122.194097
LINC SQUARE EXP LSS P2 98-99,424 104th Ave NE,47.614345,-122.200772
KEY CENTER KEY CENTER 6,601 108th Ave NE,47.616104,-122.19696
KRC SKYLINE SKYLINE #1,10900 NE 4th St,47.61434,-122.194037
BELLEVUE SBCC #2,14509 SE Newport Way,47.568871,-122.145285
"BELLEVUECOLLEGE BC SSC,U BLDG3",3000 Landerholm Cir SE,47.584483,-122.148539
AMZ SEA94 05,333 108th Ave NE,47.613364,-122.196731
AMZ SEA112 - 21,555 108th Ave NE,47.614618,-122.196463
AMZ SEA112 - 20,437 108th Ave NE,47.614604,-122.19644
AMZ SEA112 - 22,437 108th Ave NE,47.614626,-122.196492
AMZ SEA112 - 30,555 108th Ave NE,47.614621,-122.196465
